#cpu 34:58.31 total
run, score, built
1176, 0.833333, -
1177, 0.833333, -
1178, 0.833333, -
1179, 0.833333, -
1180, 0.833333, -
1181, 0.833333, -
1182, 0.833333, -
1183, 0.833333, -
1184, 0.833333, -
1185, 0.833333, -
1186, 0.833333, -
1187, 0.833333, -
1188, 0.833333, -
1189, 0.833333, -
1190, 0.833333, -
1191, 0.833333, -
1192, 0.833333, -
1193, 0.833333, -
1194, 0.833333, -
1195, 0.833333, -
1196, 0.833333, -
1197, 0.833333, -
1198, 0.833333, -
1199, 0.833333, -
1200, 0.833333, -
1201, 0.833333, -
1202, 0.833333, -
1203, 0.833333, -
1204, 0.833333, -
1205, 0.833333, -
1206, 0.833333, -
1207, 0.833333, -
1208, 0.833333, -
1209, 0.833333, -
1210, 0.833333, -
1211, 0.833333, -
1212, 0.833333, -
1213, 0.769231, Rebuilt
1214, 0.909091, -
1215, 0.909091, -
1216, 0.833333, -
1217, 0.833333, -
1218, 0.833333, -
1219, 0.833333, -
1220, 0.833333, -
1221, 0.833333, -
1222, 0.833333, -
1223, 0.833333, -
1224, 0.833333, -
1225, 0.833333, -
1226, 0.833333, -
1227, 0.833333, -
1228, 0.833333, -
1229, 0.833333, -
1230, 0.833333, -
1231, 0.833333, -
1232, 0.833333, -
1233, 0.833333, -
1234, 0.833333, -
1235, 0.833333, -
1236, 0.833333, -
1237, 0.833333, -
1238, 0.833333, -
1239, 0.833333, -
1240, 0.833333, -
1241, 0.833333, -
1242, 0.833333, -
1243, 0.833333, -
1244, 0.833333, -
1245, 0.833333, -
1246, 0.833333, -
1247, 0.833333, -
1248, 0.833333, -
1249, 0.833333, -
1250, 0.833333, -
1251, 0.833333, -
1252, 0.833333, -
1253, 0.833333, -
1254, 0.833333, -
1255, 0.833333, -
1256, 0.833333, -
1257, 0.833333, -
1258, 0.833333, -
1259, 0.833333, -
1260, 0.833333, -
1261, 0.833333, -
1262, 0.833333, -
1263, 0.833333, -
1264, 0.833333, -
1265, 0.833333, -
1266, 0.833333, -
1267, 0.833333, -
1268, 0.833333, -
1269, 0.833333, -
1270, 0.833333, -
1271, 0.833333, -
1272, 0.833333, -
1273, 0.833333, -
1274, 0.833333, -
1275, 0.833333, -
1276, 0.833333, -
1277, 0.833333, -
1278, 0.833333, -
1279, 0.833333, -
1280, 0.833333, -
1281, 0.833333, -
1282, 0.833333, -
1283, 0.833333, -
1284, 0.833333, -
1285, 0.833333, -
1286, 0.833333, -
1287, 0.833333, -
1288, 0.833333, -
1289, 0.833333, -
1290, 0.833333, -
1291, 0.833333, -
1292, 0.833333, -
1293, 0.833333, -
1294, 0.833333, -
1295, 0.833333, -
1296, 0.833333, -
1297, 0.833333, -
1298, 0.833333, -
1299, 0.833333, -
1300, 0.833333, -
1301, 0.833333, -
1302, 0.833333, -
