initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,25.6493,-259.957,336.819,1.66885,3.84452,4.90557,1.00448,1.34452,NN_Adam
0,0,0,0,0,-16.7977,30.7375,262.881,5.21211,2.68397,1.38045,4.58316,0.0907237,NN_Adam
0,0,0,0,0,198.995,-110.482,80.2315,2.63403,3.75246,3.63927,4.07422,6.22657,NN_Adam
0,0,0,0,0,217.946,-349.313,325.445,5.27002,0.542263,0.796462,0.079355,5.34562,SGO_Adam
0,0,0,0,0,-79.8116,-192.713,535.428,1.17819,1.45743,1.11716,1.29769,6.01895,NN_Adam
0,0,0,0,0,77.6817,-228.088,48.0181,1.89892,4.81541,3.66567,2.76543,2.21858,NN_Adam
0,0,0,0,0,256.92,-95.5496,64.246,2.78553,3.85967,4.03973,3.65606,6.22657,NN_Adam
0,0,0,0,0,383.291,-16.8381,31.9718,3.09755,2.58263,0.933598,1.94236,5.88884,SGO_Adam
0,0,0,0,0,-328.093,44.0419,182.089,3.00802,0.484184,0.901216,5.57304,1.75357,NN_Adam
0,0,0,0,0,-346.643,22.9354,264.249,3.07532,0.585679,1.03056,5.74248,1.75357,NN_Adam
0,0,0,0,0,-65.9681,384.515,40.0088,4.88218,2.68752,0.58311,2.25139,2.53861,NN_Adam
0,0,0,0,0,-118.658,378.908,255.241,1.87419,5.38541,1.57204,1.62727,0.486989,NN_Adam
0,0,0,0,0,456.425,2.18104,81.0228,3.14611,2.95864,0.301205,1.82016,5.88884,NN_Adam
0,0,0,0,0,-190.219,456.705,354.189,1.96539,0.320339,0.0829322,1.67295,6.00367,SGO_Adam
0,0,0,0,0,-8.91161,-318.353,15.601,1.54275,2.45254,1.96626,0.77498,1.73232,PSO_Adam
0,0,0,0,0,-322.892,-110.028,490.76,0.328357,2.37255,0.0212676,1.59666,1.88987,NN_Adam
0,0,0,0,0,-501.144,138.696,90.2547,2.87149,5.90254,0.678289,1.09367,4.41349,NN_Adam
0,0,0,0,0,293.995,-96.7434,65.053,2.82353,3.80565,4.32324,3.43069,6.22657,NN_Adam
0,0,0,0,0,163.739,-75.3499,256.347,5.85158,4.63082,3.3324,0.528628,0.955645,NN_Adam
0,0,0,0,0,-142.667,156.372,273.297,2.3103,1.04706,2.83156,4.36567,6.17791,NN_Adam
0,0,0,0,0,-12.1166,-134.438,238.141,1.48087,0.89111,3.30582,0.0983327,3.18951,SGO_Adam
0,0,0,0,0,-187.986,-223.859,319.579,0.872143,2.08925,1.94485,6.24326,5.67876,SGO_Adam
0,0,0,0,0,348.258,-155.223,53.8255,2.72222,3.43609,0.808482,0.128397,3.16442,NN_Adam
